"id","pop","survey","season","sampler","site","site_code","capture_time","release_time","recapture","FTA_blood","field_sample_reference","blood_sample_batch","lon","lat","service","plate_location","sex"
"S_NOV33","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 14:24","12/10/2022 14:30","No","Yes","BTF263","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-A5","M"
"S_NOV41","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 13:00","14/10/2022 13:07","No","Yes","BTF274","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-A6","F"
"S_NOV49","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 15:15","14/10/2022 15:25","No","Yes","BTF282","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-A7","F"
"S_NOV02","South","2023 Wet Season","Wet","Chays Ogston","Carmichael Bore","CMB","11/05/2023 9:40","11/05/2023 10:30","No","Yes","Nov-02","Nov_2023",146.383108,-22.137289,"DPoep23-8916","1-B1","F"
"S_NOV34","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 14:11","12/10/2022 14:20","No","Yes","BTF262","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-B5","F"
"S_NOV42","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 13:00","14/10/2022 13:15","No","Yes","BTF275","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-B6","F"
"S_NOV50","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 15:30","14/10/2022 15:40","No","Yes","BTF283","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-B7","M"
"S_NOV35","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 14:58","12/10/2022 15:09","No","Yes","BTF264","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-C5","F"
"S_NOV43","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 13:00","14/10/2022 13:25","No","Yes","BTF276","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-C6","M"
"S_NOV51","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 15:30","14/10/2022 15:48","No","Yes","BTF284","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-C7","F"
"S_NOV36","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 15:08","12/10/2022 15:20","No","Yes","BTF265","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-D5","M"
"S_NOV05","South","2023 Wet Season","Wet","Chays Ogston","Carmichael Bore","CMB","11/05/2023 13:50","11/05/2023 14:10","No","Yes","Nov-05","Nov_2023",146.383108,-22.137289,"DPoep23-8916","1-E1","F"
"S_NOV45","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 13:38","14/10/2022 13:55","No","Yes","BTF278","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-E6","F"
"S_NOV39","South","2022 Dry Season","Dry","Breanna Williams","Lignum fence trough","LFT","12/10/2022 15:50","12/10/2022 15:56","No","Yes","BTF269","Nov_2023",146.411307,-22.250395,"DPoep23-8916","1-G5","F"
"S_NOV47","South","2022 Dry Season","Dry","Chays Ogston","Lignum fence trough","LFT","14/10/2022 14:25","14/10/2022 14:35","No","Yes","BTF280","Nov_2023",146.411412,-22.250437,"DPoep23-8916","1-G6","M"
